epoch, train_loss, train_accuracy, valid_loss, valid_accuracy
0,0.4737200004129737,0.7741727232933044,0.41376655676255103,0.8217597007751465
1,0.2627334778730347,0.8218562006950378,0.4736578404707344,0.8087947964668274
2,0.22720573640042685,0.8361527919769287,0.3281481205240676,0.8279902935028076
3,0.206527567456297,0.8478910326957703,0.3557947377527231,0.8591408729553223
4,0.19277418176778702,0.8493820428848267,0.395823897891923,0.8306629061698914
5,0.18422711507901351,0.8552592396736145,0.3911726121839724,0.8332625031471252
6,0.1753240344569205,0.8600780963897705,0.31808717362582684,0.8613076210021973
7,0.1658710913344392,0.8608912229537964,0.33386227312056643,0.8453330993652344
8,0.15576308014210422,0.8672950863838196,0.37700962584073605,0.861541748046875
9,0.1457640363645585,0.8705154657363892,0.3315923910980162,0.8539187908172607
10,0.14849866584611757,0.8748923540115356,0.38735485326890884,0.8647866249084473
11,0.14028307659880782,0.8746793866157532,0.3109278928880629,0.8659698963165283
12,0.13641627477899704,0.8787791132926941,0.282982813537513,0.8729623556137085
13,0.13369549071234418,0.8837881684303284,0.43300328942898075,0.8458950519561768
14,0.12617904237301966,0.8861450552940369,0.3824620493442604,0.8515089154243469
15,0.12797047371796694,0.8843860626220703,0.31130174937118826,0.8640122413635254
16,0.12019812347156077,0.8867839574813843,0.36904613798680275,0.8561722636222839
17,0.11961731805630756,0.8909891247749329,0.37190353806669774,0.8621322512626648
18,0.11788582183558267,0.8940445780754089,0.31068994492096336,0.8736796379089355
19,0.11874254652370249,0.8966647386550903,0.3130737795053344,0.8747521638870239
20,0.1105155846728184,0.8971160054206848,0.3742893846509488,0.8524681925773621
21,0.10626234894490612,0.8968914747238159,0.4227485388125244,0.8715745806694031
22,0.10744605538752273,0.9041405916213989,0.31557144126609754,0.8809095621109009
23,0.10760786254352112,0.8983619809150696,0.31292920040064737,0.8809942007064819
24,0.10643003155209498,0.8993216156959534,0.47098932464263943,0.8553751111030579
25,0.1021881180577039,0.9035128951072693,0.3400992588875325,0.872218906879425
26,0.09753403765957872,0.9066576957702637,0.3570570957503821,0.8650641441345215
27,0.10066629451574231,0.9000842571258545,0.360434125716749,0.8801820874214172
28,0.09748022824201467,0.9074707627296448,0.33969779577302306,0.8715723156929016
29,0.10026667287725571,0.903240442276001,0.3553893851410401,0.8744677305221558
