epoch, train_loss, train_accuracy, valid_loss, valid_accuracy
0,1,1,0,0
0,0.4716968606754469,0.7330076694488525,0.3484272831364682,0.7950349450111389
1,0.2659090395456568,0.7883273363113403,0.3105740833439325,0.7867244482040405
2,0.22340747371984346,0.8020741939544678,0.3825004648319201,0.7976482510566711
3,0.21087818234018726,0.8132259845733643,0.329920216904659,0.8091888427734375
4,0.19324852956709573,0.8232006430625916,0.3558395288296436,0.8150904178619385
5,0.18244554365845028,0.8279967308044434,0.3229535557819824,0.8150482177734375
6,0.1688119771062227,0.833443284034729,0.3378258256829883,0.8143560290336609
7,0.16419393643933425,0.8381431102752686,0.4383774267411546,0.8418870568275452
8,0.15547275772234695,0.8424032926559448,0.3996181689987057,0.8106039762496948
9,0.14803436204869702,0.8471305966377258,0.3210761763743664,0.815661609172821
10,0.13865688410747334,0.8485254049301147,0.32218183895671054,0.8314704298973083
11,0.13771478108334353,0.8519541621208191,0.3330386370224388,0.8283374905586243
12,0.12465125458968661,0.8542606234550476,0.3474758632579132,0.8562214374542236
13,0.13149728918187614,0.8558935523033142,0.3309985079655522,0.8235174417495728
14,0.1275830823082801,0.8574487566947937,0.36449750056980473,0.8209818005561829
15,0.11633774138849455,0.8646955490112305,0.28861357340295063,0.8432496786117554
16,0.11840287260318022,0.857657253742218,0.36131720607610124,0.8389094471931458
17,0.12075448433787496,0.8606209754943848,0.30930646989298494,0.8281101584434509
18,0.1176650863199797,0.8649085760116577,0.298412369833769,0.8504453897476196
19,0.11520958471045606,0.872952401638031,0.34017731896356534,0.8496893048286438
20,0.10342703014366467,0.8711361289024353,0.2825435234821941,0.8385222554206848
21,0.10971249450037457,0.8714040517807007,0.34375957051586165,0.8326560854911804
22,0.10918570742364923,0.8764795064926147,0.3520096361539082,0.8571877479553223
23,0.10084809028877727,0.8787059187889099,0.34549903254465836,0.8444638252258301
24,0.10058175247054459,0.8817245960235596,0.32453819751543433,0.8418654203414917
25,0.10246728335096843,0.8794937133789062,0.3231895642943288,0.8388169407844543
26,0.10091991337030969,0.8828102350234985,0.3908358134917523,0.8378118276596069
27,0.10096773986598984,0.8834102749824524,0.4116671477003317,0.8338233828544617
28,0.09769711064513881,0.881044328212738,0.40957441813263457,0.8396461606025696
29,0.09447399800333703,0.8865296840667725,0.32730687321408797,0.8543197512626648
